Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
219.0000,36.3200,517050.7578,75730246.9164,75730246.9164
220.0000,32.3400,452798.6886,76183045.6050,76183045.6050
221.0000,28.0200,383057.7492,76566103.3542,76566103.3542
222.0000,33.8700,477498.6048,77043601.9590,77043601.9590
223.0000,33.9200,478305.7914,77521907.7504,77521907.7504
224.0000,61.7600,927747.4008,78449655.1512,78449655.1512
225.0000,42.2800,613267.4244,79062922.5756,79062922.5756
226.0000,65.0900,981506.0418,80044428.6174,80044428.6174
227.0000,37.3700,534001.6806,80578430.2980,80578430.2980
228.0000,20.9400,268760.0982,80847190.3962,80847190.3962
229.0000,56.7300,846544.4088,81693734.8050,81693734.8050
230.0000,49.2800,726273.5760,82420008.3810,82420008.3810
231.0000,54.2700,806830.8186,83226839.1996,83226839.1996
232.0000,56.9100,849450.2814,84076289.4810,84076289.4810
233.0000,78.4500,1197186.3546,85273475.8356,85273475.8356
234.0000,43.4200,631671.2832,85905147.1188,85905147.1188
235.0000,35.2400,499615.5228,86404762.6416,86404762.6416
236.0000,33.3500,469103.8620,86873866.5036,86873866.5036
237.0000,10.0000,92147.6268,86966014.1304,86966014.1304
238.0000,10.0000,92147.6268,87058161.7572,87058161.7572
239.0000,35.2200,499292.6484,87557454.4056,87557454.4056
240.0000,39.2200,563867.5920,88121321.9976,88121321.9976
241.0000,55.8000,831530.7348,88952852.7324,88952852.7324
242.0000,18.1000,222911.8884,89175764.6208,89175764.6208
243.0000,80.3900,1228505.2020,90404269.8228,90404269.8228
244.0000,50.8000,750812.0544,91155081.8772,91155081.8772
245.0000,50.5800,747260.4330,91902342.3102,91902342.3102
246.0000,53.0500,787135.4604,92689477.7706,92689477.7706
247.0000,27.7000,377891.7534,93067369.5240,93067369.5240
248.0000,73.2000,1112431.7406,94179801.2646,94179801.2646
249.0000,47.8700,703510.9080,94883312.1726,94883312.1726
250.0000,42.5500,617626.2330,95500938.4056,95500938.4056
251.0000,46.7700,685752.7986,96186691.2042,96186691.2042
252.0000,44.3400,646523.5200,96833214.7242,96833214.7242
253.0000,70.7000,1072072.4004,97905287.1246,97905287.1246
254.0000,53.3400,791817.1440,98697104.2686,98697104.2686
255.0000,53.6700,797144.5770,99494248.8456,99494248.8456
