@RELATION rate_vs_increase_training

@ATTRIBUTE target_send_rate NUMERIC
@ATTRIBUTE sum_size_increase_bytes NUMERIC

@DATA
733.0,2008205.0
95.0,247412.0
563.0,1543907.0
240.0,649556.6666666666
742.0,2074480.0
574.0,1573170.0
690.0,1615618.0
460.0,1254435.0
553.0,1580845.0
879.0,2407882.0
206.0,572119.0
392.0,1058151.0
794.0,2236124.0
397.0,809496.3333333334
766.0,2130378.0
849.0,2360661.0
217.0,461847.3333333333
4.0,9105.5
768.0,1713590.5
642.0,1481940.0
898.0,2498971.0
612.0,1445635.0
738.0,1616959.0
546.0,1281350.0
725.0,2020531.0
683.0,1908524.0
98.0,269252.5
804.0,1770177.0
727.0,1992591.0
573.0,1616681.0
406.0,1095359.0
502.0,1384801.0
47.0,124554.5
32.0,92978.5
779.0,2144254.0
839.0,2252209.0
200.0,555385.0
134.0,383213.0
27.0,71911.0
881.0,2490045.0
230.0,630992.5
489.0,1363646.0
772.0,2106272.0
378.0,1007080.0
288.0,759342.0
418.0,1148062.0
674.0,1847458.0
391.0,792083.6666666666
592.0,1621471.0
498.0,1141405.5
138.0,369321.3333333333
62.0,171921.0
471.0,1319249.0
647.0,1770531.0
128.0,356098.0
977.0,2658132.0
520.0,1431667.0
838.0,2349388.0
963.0,2640062.0
64.0,173605.5
812.0,2258160.0
14.0,35601.0
156.0,420495.6666666667
40.0,113704.5
492.0,1228512.3333333333
379.0,779683.3333333334
187.0,400679.3333333333
763.0,2076188.0
216.0,569362.3333333334
791.0,2247322.0
52.0,145313.0
878.0,2457289.0
337.0,713127.3333333334
748.0,2060847.0
