Time,target_send_rate,total_size_bytes
580.0000,40.9700,510590183.6478
581.0000,53.7400,511388458.2864
582.0000,42.3900,512003501.5218
583.0000,44.4100,512651155.1034
584.0000,50.4300,513395993.9760
585.0000,41.1900,513991664.7282
586.0000,38.3900,514542133.0194
587.0000,50.6300,515290200.6390
588.0000,44.1700,515933979.7242
589.0000,38.8500,516491874.1338
590.0000,48.8000,517210398.7164
591.0000,47.9500,517915201.1238
592.0000,47.6200,518614676.0982
593.0000,47.3500,519309792.2640
594.0000,37.5200,519846215.5050
595.0000,47.1700,520538425.7982
596.0000,44.9900,521195442.7470
597.0000,37.7100,521734933.2978
598.0000,42.8700,522357725.5260
599.0000,48.8900,523077703.0452
600.0000,26.7300,523439935.3752
601.0000,37.9900,523983946.1718
602.0000,41.5800,524585912.9808
603.0000,37.6900,525125080.6566
604.0000,51.6800,525890099.1990
605.0000,36.6600,526412638.8270
606.0000,51.4500,527173944.3102
607.0000,33.6600,527648052.7302
608.0000,51.2200,528405645.1542
609.0000,27.2600,528776433.6642
610.0000,36.3600,529294130.1714
611.0000,42.5600,529911917.8416
612.0000,44.9900,530568934.7904
613.0000,29.8400,530981374.1388
614.0000,50.3100,531724275.7626
615.0000,39.7600,532296860.9718
616.0000,37.0200,532825212.3450
617.0000,41.9000,533432345.1492
618.0000,27.9500,533814272.8368
619.0000,42.4000,534429477.5094
620.0000,38.0500,534974456.9304
621.0000,34.5500,535462933.2756
622.0000,24.4100,535787712.1380
623.0000,33.2800,536255685.9384
624.0000,22.5500,536550437.4516
625.0000,37.7100,537089928.0024
626.0000,33.6400,537563713.5480
627.0000,24.0100,537882034.9158
628.0000,34.0000,538361632.2060
629.0000,35.1800,538860279.1050
630.0000,30.8300,539288700.7524
631.0000,23.5100,539598950.2524
632.0000,27.8500,539979263.5662
633.0000,33.7100,540454179.1728
634.0000,27.1100,540822546.1224
635.0000,36.9900,541350413.1834
636.0000,28.1200,541735085.3064
637.0000,37.2200,542266665.4266
638.0000,21.2700,542540752.9578
639.0000,19.2000,542781422.9556
640.0000,23.3300,543088766.5830
641.0000,25.5000,543431142.1176
642.0000,21.5400,543709588.4574
643.0000,31.4000,544147212.0342
644.0000,16.3200,544341388.0722
645.0000,33.0900,544806294.5628
646.0000,26.0400,545157387.7146
647.0000,30.8400,545585970.7992
648.0000,22.2900,545876524.9410
649.0000,25.9700,546226488.0312
650.0000,29.5600,546634407.1338
651.0000,32.7800,547094309.0664
652.0000,24.4800,547420217.9904
653.0000,10.0000,547512365.6172
654.0000,23.3300,547819709.2446
655.0000,23.4400,548128828.6830
656.0000,16.3500,548323489.0332
657.0000,25.7900,548670546.2514
658.0000,29.3300,549074752.2948
659.0000,22.1800,549363530.6256
660.0000,18.3200,549589994.1360
661.0000,16.8000,549791919.1674
662.0000,23.2200,550097486.9838
663.0000,18.9100,550333475.2980
664.0000,16.1200,550524422.5890
665.0000,21.6000,550803837.5532
666.0000,20.3000,551062265.6604
667.0000,19.3000,551304550.0320
668.0000,37.1700,551835322.9656
669.0000,13.3000,551980744.9212
670.0000,21.5000,552258545.5116
671.0000,10.0000,552350693.1384
672.0000,24.1300,552670951.7544
673.0000,21.7300,552952465.4040
674.0000,10.0000,553044613.0308
675.0000,11.0600,553153873.0176
676.0000,12.9700,553293967.5402
677.0000,15.7300,553478618.7744
678.0000,17.0400,553684418.3028
679.0000,10.0000,553776565.9296
680.0000,21.2400,554050169.1486
681.0000,10.0000,554142316.7754
682.0000,10.0000,554234464.4022
683.0000,13.2100,554378433.4218
684.0000,16.5700,554576645.3940
685.0000,15.9900,554765493.9996
686.0000,11.6500,554884278.7908
687.0000,10.0000,554976426.4176
688.0000,10.0000,555068574.0444
689.0000,27.6200,555445174.2990
690.0000,10.0000,555537321.9258
691.0000,10.0000,555629469.5526
692.0000,17.2500,555838659.2652
693.0000,14.9100,556010072.6358
694.0000,10.0000,556102220.2626
695.0000,10.0000,556194367.8894
696.0000,10.0000,556286515.5162
697.0000,10.0000,556378663.1430
698.0000,10.0000,556470810.7698
699.0000,10.0000,556562958.3966
700.0000,10.0000,556655106.0234
701.0000,12.3900,556785837.1794
702.0000,12.8000,556923187.2672
703.0000,10.0000,557015334.8940
704.0000,11.9200,557138478.4938
705.0000,10.0000,557230626.1206
706.0000,10.9400,557337948.8592
707.0000,10.0000,557430096.4860
708.0000,10.0000,557522244.1128
709.0000,10.0000,557614391.7396
710.0000,10.0000,557706539.3664
711.0000,10.0000,557798686.9932
712.0000,10.0000,557890834.6200
713.0000,10.0000,557982982.2468
714.0000,10.0000,558075129.8736
715.0000,10.0000,558167277.5004
716.0000,10.0000,558259425.1272
717.0000,10.0000,558351572.7540
718.0000,10.0000,558443720.3808
719.0000,10.0000,558535868.0076
720.0000,10.0000,558628015.6344
721.0000,10.0000,558720163.2612
722.0000,10.0000,558812310.8880
723.0000,10.0000,558904458.5148
724.0000,10.0000,558996606.1416
725.0000,10.0000,559088753.7684
726.0000,10.0000,559180901.3952
727.0000,10.0000,559273049.0220
728.0000,10.0000,559365196.6488
729.0000,10.0000,559457344.2756
730.0000,10.0000,559549491.9024
731.0000,10.0000,559641639.5292
732.0000,10.0000,559733787.1560
733.0000,10.0000,559825934.7828
734.0000,10.0000,559918082.4096
735.0000,10.0000,560010230.0364
736.0000,10.0000,560102377.6632
737.0000,10.0000,560194525.2900
738.0000,10.0000,560286672.9168
739.0000,10.0000,560378820.5436
740.0000,10.0000,560470968.1704
741.0000,10.0000,560563115.7972
742.0000,10.0000,560655263.4240
743.0000,10.0000,560747411.0508
744.0000,10.0000,560839558.6776
745.0000,10.0000,560931706.3044
746.0000,10.0000,561023853.9312
747.0000,10.0000,561116001.5580
748.0000,10.0000,561208149.1848
749.0000,10.0000,561300296.8116
750.0000,10.0000,561392444.4384
751.0000,10.0000,561484592.0652
752.0000,10.0000,561576739.6920
753.0000,10.0000,561668887.3188
754.0000,10.0000,561761034.9456
755.0000,10.0000,561853182.5724
756.0000,10.0000,561945330.1992
757.0000,10.0000,562037477.8260
758.0000,10.0000,562129625.4528
759.0000,10.0000,562221773.0796
760.0000,10.0000,562313920.7064
761.0000,10.0000,562406068.3332
762.0000,10.0000,562498215.9600
763.0000,10.0000,562590363.5868
764.0000,10.0000,562682511.2136
765.0000,10.0000,562774658.8404
766.0000,10.0000,562866806.4672
767.0000,10.0000,562958954.0940
768.0000,10.0000,563051101.7208
769.0000,10.0000,563143249.3476
770.0000,10.0000,563235396.9744
771.0000,10.0000,563327544.6012
772.0000,10.0000,563419692.2280
773.0000,10.0000,563511839.8548
774.0000,10.0000,563603987.4816
775.0000,10.0000,563696135.1084
776.0000,10.0000,563788282.7352
777.0000,10.0000,563880430.3620
778.0000,10.0000,563972577.9888
779.0000,10.0000,564064725.6156
780.0000,10.0000,564156873.2424
781.0000,10.0000,564249020.8692
782.0000,10.0000,564341168.4960
783.0000,10.0000,564433316.1228
784.0000,10.0000,564525463.7496
785.0000,10.0000,564617611.3764
786.0000,10.0000,564709759.0032
787.0000,10.0000,564801906.6300
788.0000,10.0000,564894054.2568
789.0000,10.0000,564986201.8836
790.0000,10.0000,565078349.5104
791.0000,10.0000,565170497.1372
792.0000,10.0000,565262644.7640
793.0000,10.0000,565354792.3908
794.0000,10.0000,565446940.0176
795.0000,10.0000,565539087.6444
796.0000,10.0000,565631235.2712
797.0000,10.0000,565723382.8980
798.0000,10.0000,565815530.5248
799.0000,10.0000,565907678.1516
800.0000,10.0000,565999825.7784
801.0000,10.0000,566091973.4052
802.0000,10.0000,566184121.0320
803.0000,10.0000,566276268.6588
804.0000,10.0000,566368416.2856
805.0000,10.0000,566460563.9124
806.0000,10.0000,566552711.5392
807.0000,10.0000,566644859.1660
808.0000,10.0000,566737006.7928
809.0000,10.0000,566829154.4196
810.0000,10.0000,566921302.0464
811.0000,10.0000,567013449.6732
812.0000,10.0000,567105597.3000
813.0000,10.0000,567197744.9268
814.0000,10.0000,567289892.5536
815.0000,10.0000,567382040.1804
816.0000,10.0000,567474187.8072
817.0000,10.0000,567566335.4340
818.0000,10.0000,567658483.0608
